_id,id,nickname,battles_in_0,dmg_in_0,winrate_in_0,battles_in_1,dmg_in_1,winrate_in_1,battles_in_4,dmg_in_4,winrate_in_4,battles_in_3,dmg_in_3,winrate_in_3,clantag,is_stats_closed,kills_in_0,spotting_in_0,kills_in_1,spotting_in_1,kills_in_3,spotting_in_3
5fa7fb58805c92047577db25,401507615,S_1_L_V_E_R,7270,4179.48,62.3,1552,9506.49,41.8,124,3189.6,72.6,834,12709.38,55.6,ORL,false,1.48,848.8577716643741,4.78,1496.181056701031,4.72,2751.8069544364507
5fa7fb58805c92047577db26,589946829,master_windy,4154,6131.09,68.2,1106,6361.23,44.8,242,3921.09,67.8,322,16033.4,57.1,ORL,false,1.9,692.2363986519018,3.82,1132.3119349005424,4.89,2389.9068322981366
5fa7fb58805c92047577db29,589562092,VENI_VIDI_VlCI,6545,5346.09,69.4,2527,6671.56,43.7,286,4056.91,69.6,816,17396.85,65.3,ORL,false,1.77,823.4061115355233,3.69,1159.821527502968,5.73,2310.716911764706
5fa7fb58805c92047577db2a,478055221,Dreambreaker,2525,4282.44,69.4,1386,5416.42,26,107,3225.2,57,1025,15311.17,64.4,ORL,false,1.58,749.4487128712872,2.56,772.7712842712842,5.49,3027.56
5fa7fb58805c92047577db2b,557727839,ZversKi,10604,6066.07,68.3,330,22414.13,70,125,4359.31,69.6,408,18149.67,62,ORL,false,2.12,945.1253300641267,9.19,2817.4636363636364,5.52,4064.325980392157
5fa7fb58805c92047577db2c,399728775,Jl9lpuKycuK,589,4631.68,71.6,2,33131.5,50,0,0,0,10,13570.3,70,ORL,false,1.48,875.7164685908319,13,5837.5,3.8,2969.4
5fa7fb58805c92047577db2d,510256265,DeadL1ne,6928,5312.37,64.2,1412,4938.6,20,41,3665.95,85.4,342,16062.36,63.5,null,false,1.69,950.052396073903,2.12,908.5361189801699,5.27,3014.377192982456
5fa7fb58805c92047577db30,620461989,iisys,6354,5419.52,69.5,2277,4586.67,39.9,92,4318.53,77.2,887,16200.93,60.7,ORL,false,1.7,834.4093484419263,2.63,719.7830478700043,5.31,2584.193912063134
5fa7fb58805c92047577db31,509105112,ORLGripp,4568,3804.57,66.2,1222,14267.52,74.4,153,3334.5,69.3,686,11538.19,60.9,ORL,false,1.28,631.1390105078809,6.91,2623.07937806874,3.71,2643.441690962099
5fa7fb58805c92047577db32,509769325,РондалеН,1488,4433.87,60.1,13,15977.3,69.2,0,0,0,19,13869.47,52.6,ORL,false,1.48,584.1646505376344,7.38,3392.5384615384614,3.58,4735.473684210527
5fa7fb58805c92047577db33,576458334,Масянечка,1762,3274.58,54.7,45,14925,84.4,5,1797.6,40,28,10528.14,50,ORL,false,1.15,510.42962542565266,7.36,3085.488888888889,3.57,1224.8214285714287
5fa7fb58805c92047577db34,421099867,S_T_A_L_K_E_R,994,3972.49,57.4,1339,664.66,32.6,1,6501,100,68,12852.35,45.6,ORL,false,1.34,448.5824949698189,0.34,158.39955190440628,3.88,1959.5441176470588
5fa7fb58805c92047577db35,679563635,Ryki_Kruki,3492,4082.05,57.4,744,16825.26,74.1,0,0,0,883,11160.66,56.7,ORL,false,1.49,750.0727376861397,9.26,3134.9825268817203,3.76,2502.7202718006797
5fa7fb58805c92047577db36,457589650,SAID,746,3785.52,63.9,0,0,0,10,2431.4,70,2,14152.5,100,ORL,false,1.21,709.3632707774799,0,0,4.5,1600
5fa7fb58805c92047577db38,514174660,Alex_Killer,3382,6506.21,64.3,800,17043.23,59.3,72,3767.84,73.6,580,20361.42,64.1,ORL,false,2.15,964.9272619751627,7.95,2051.7625,7.39,3423.655172413793
5fa7fb58805c92047577db39,610523371,Black_Mamba1,5435,5208.84,66,287,16641.53,90.6,3,1747.66,100,206,14038.36,66,ORL,false,1.78,1555.4781968721252,8.14,5969.247386759582,6.85,2978.6019417475727
5fa7fb58805c92047577db3a,512754070,BRITVA2015,4306,4996.26,61.9,226,8338.67,54,159,3009.89,64.8,78,13844.35,55.1,ORL,false,1.61,980.0113794705063,3.68,1758.8761061946902,5.31,2862.3846153846152
5fa7fb58805c92047577db3c,507663352,Чорний_сотник,5548,3286.04,56.9,159,15754.53,83,34,3168.94,58.8,74,12890.21,51.4,ORL,false,1.13,943.2222422494592,6.47,3124.9622641509436,5.01,1946.945945945946
5fa7fb58805c92047577db3e,508991668,jokercrab,1076,4375.98,59.6,0,0,0,0,0,0,69,12100.71,52.2,ORL,false,1.31,699.1598513011153,0,0,4.04,1267.2753623188405
5fa7fb58805c92047577db3f,631867739,N0kia_3310,605,6041.86,64.8,33,9532.03,63.6,0,0,0,63,13278.74,69.8,ORL,false,1.91,630.6842975206612,4.82,3134.757575757576,5.32,1565.6984126984128
5fa7fb58805c92047577db40,507473787,Ежег_в_Тумане,109,5639.94,71.6,745,1426.4,30.5,40,4130.97,75,132,18824.03,62.1,ORL,false,1.85,788.1926605504588,0.78,355.9355704697987,6.68,3174.6969696969695
5fa7fb58805c92047577db42,638397109,ОТЕЦ_ВПИХОНДРИЙ,588,4448.2,59.7,12,13651.66,50,0,0,0,103,12896.61,58.3,ORL,false,1.37,565.3928571428571,4.75,2830.4166666666665,4.64,1028.1747572815534
5fa7fb58805c92047577db43,512203629,APMATAproject,1600,4585.21,73.8,1921,2705.86,26.5,169,3829.5,59.8,832,15807.67,68.5,ORL,false,1.71,849.095,1.47,453.0775637688704,5.29,2816.6189903846152
5fa7fb58805c92047577db46,379904442,AlMo,4251,4674.48,68.3,755,6411.42,27.9,166,3361.63,54.8,718,15203.05,61.1,ORL,false,1.77,794.9816513761468,3.31,973.5059602649006,5.63,2829.4540389972144
5fa7fb58805c92047577db47,505922483,Sudden_Fury,1066,4778.1,61.7,1,1564,100,0,0,0,2,9804,50,ORL,false,1.46,488.93527204502817,5,0,2,1928.5
5fa7fb58805c92047577db48,583734513,КилометрыНеба,1327,5755.84,62.9,0,0,0,0,0,0,1,13065,100,ORL,false,1.73,514.785983421251,0,0,5,0
5fa7fb58805c92047577db49,457185901,ОТЕЦ_НИКОДИМ,2421,4104.85,60.3,158,11921.11,81,37,1970.91,48.6,241,11369.9,55.2,ORL,false,1.28,566.3176373399422,5.55,2904.1708860759495,3.36,2193.2116182572613
5fa7fb58805c92047577db4a,602484270,ForwarD62,540,4427.82,71.5,410,1270.76,6.1,9,4976.22,88.9,243,14283.51,71.6,ORL,false,1.49,794.7037037037037,0.74,178.59024390243903,4.53,3210.588477366255
5fa7fb58805c92047577db4b,618216077,Cloze,2315,4863.38,63.8,2,19103,100,0,0,0,40,15596.82,57.5,ORL,false,1.69,844.1727861771059,7,5315.5,5.43,1408.175
5fa7fb58805c92047577db4c,583573021,Kozay12,1608,4849.72,66.9,400,2375.21,19.3,14,3029.85,64.3,109,13056.78,59.6,ORL,false,1.63,771.7723880597015,0.97,596.45,3.82,3014.1743119266057
5fa7fb58805c92047577db4d,617690651,Рыбий_Клык,50,5048.56,78,0,0,0,0,0,0,64,13107.01,67.2,ORL,false,1.92,811.24,0,0,5.02,2721.40625
5fa7fb58805c92047577db4e,591161676,ОТЕЦ_АНУФРИЙ,179,4397.03,64.2,49,6763.24,73.5,0,0,0,160,10216.23,50,ORL,false,1.31,802.9385474860335,5.24,1303.5102040816328,3.54,1320.525
5fa7fb58805c92047577db4f,620726294,ЛысыйИзБразерс,33,7487.69,69.7,0,0,0,2,1512,50,0,0,0,ORL,false,2.52,1240.4242424242425,0,0,0,0
5fa7fb58805c92047577db50,620676378,Winny_The_Noob,2115,4938.96,65.8,324,12479.71,71.3,84,3239.47,75,232,8859.6,47.8,ORL,false,1.56,749.5011820330969,7.27,1671.2777777777778,2.84,1988.2241379310344
5fa7fb58805c92047577db51,543892138,KAA-BOOM,7702,5197.79,62.4,762,21798.84,80.4,68,3065.05,61.8,399,14166.35,55.9,ORL,false,1.87,674.0863412100753,8.62,2837.288713910761,4.99,1872.7719298245613
5fa7fb59805c92047577db54,489639013,kvass_Ok,2723,5181.66,68.3,198,25002.57,64.6,265,4251.81,82.6,866,17253.92,61.1,PAND,false,1.76,739.5482923246419,10.71,2410.7979797979797,5.46,2511.152424942263
5fa7fb59805c92047577db55,595318315,Crazy_Siraj,7627,3597.77,55.4,10285,14135.2,72.4,553,3680.51,66.9,4636,12023.74,53.8,PAND,false,1.18,600.4352956601547,6.4,2980.8010695187168,3.98,2950.2942191544435
5fa7fb59805c92047577db56,497576199,Yanik,9464,4467.35,59.3,3201,23221.64,80.4,121,3800.88,52.1,3184,14935.83,66.4,PAND,false,1.63,784.0556846999154,9.45,2724.560449859419,5.23,3060.0932788944724
5fa7fb59805c92047577db59,557907088,Edison_PWNZ,16417,4519.85,61.1,1483,18300.3,69.6,750,3374.51,72.1,1104,12767.84,54.5,PAND,false,1.4,711.3599317780349,7.33,2970.9507754551582,3.99,2810.970108695652
5fa7fb59805c92047577db5a,506220191,YSGRAMOR,4691,3740.02,55.5,3979,16476.69,86,388,3545.33,63.4,3376,13700.61,58.6,PAND,false,1.33,613.776167128544,7.4,3974.8346318170393,4.98,2964.236078199052
5fa7fb59805c92047577db5b,535231900,Dark666Souls,11705,4916.55,68.5,1498,24147.33,84.4,620,3586.62,76.9,1906,15775.47,61.9,PAND,false,1.82,1014.7173857325929,9.71,3826.7703604806406,5.11,3621.7591815320043
5fa7fb59805c92047577db5c,603273186,PANDEMIC_AW,184,5184.69,65.2,1140,25248.89,80.4,112,2906.09,70.5,332,12551.87,53.9,PAND,false,1.92,760.445652173913,10.74,3997.022807017544,4.29,2467.352409638554
5fa7fb59805c92047577db5d,579450602,ESPOZITO,18279,4157.84,61.1,6382,25376.04,83.6,757,3750.61,67.6,3270,14736.03,56.7,PAND,false,1.63,725.1989714973466,11.86,3072.2145095581322,4.95,2713.670336391437
5fa7fb59805c92047577db60,512672887,Ob_76,9654,4243.25,58.2,16825,23114.81,91.8,140,3810.03,57.9,4427,13302.62,60.3,PAND,false,1.76,492.786202610317,9.85,4194.495750371471,4.3,2931.2256607183194
5fa7fb59805c92047577db61,510650758,Ржавой-Башка,17780,3950.89,58,4745,26248.23,76.3,140,3059.86,55,3792,14174.13,54.1,PAND,false,1.4,695.7167041619798,10.45,3370.504320337197,4.6,2570.7486814345993
5fa7fb59805c92047577db62,591906653,Алмаз2016,14133,3143.92,57.3,10770,15248.8,85.5,340,3082.41,55.6,4379,11814.34,53.6,PAND,false,1.41,595.6266893087101,7.71,3763.8601671309193,3.9,2843.1667047271067
